label,value
Accounting 1,3
Acctg 1,3
Anthro 10,3
Anthro 100,3
Anthro 101,1
Anthro 101.1,1
Anthro 111.1,3
Anthro 112,3
Anthro 118,3
Anthro 123,3
Anthro 133,3
Anthro 151,3
Anthro 161,3
Anthro 167,3
Anthro 172,3
Anthro 173,3
Anthro 179,3
Anthro 181,3
Anthro 190,3
Anthro 194,3
Anthro 202,3
Anthro 205,3
Anthro 212,3
Anthro 223,3
Anthro 224,3
Anthro 225,3
Anthro 261,3
Anthro 275,3
Anthro 277,3
Anthro 278,3
Anthro 282,3
Anthro 297,3
Anthro 300,3
Anthro 400,3
Anthropology 114,4
App Physics,6
Aral Pil,3
Arch 3,3
Arch 4,2
Arch 5,2
Arch 16,2
Arch 18,2
Arch 20,3
Arch 22,3
Arch 23,3
Arch 32,3
Arch 33,3
Arch 35,2
Arch 55,2
Arch 75,3
Arch 134,4
Arch 142,3
Arch 147,3
Arch 149,3
Arch 162,4
Arch 171,4
Arch 199.2,3
Arch 202,3
Arch 205,3
Arch 206,3
Arch 211,3
Arch 221,3
Arch 233,3
Arch 234,3
Arch 236,3
Arch 251,3
Arch 300,3
Archaeo 2,3
Archi 203,3
Archi 210,4
Archi 211,3
Archi 232,3
Archi 233,3
Archi 241,3
Archi 242,3
Archi 243,3
Archi 244,3
Archi 252,3
Archi 253,3
Archi 262,2
Archi 299,6
Archi 300,3
Arkiyoloji 1,3
ARTS 1,3
Art Stud,3
AS 201-A,3
AS 201,3
AS 201-A,3
AS 203,3
AS 206,3
AS 207,3
AS 210,3
AS 211,3
AS 230,3
AS 234,3
AS 235.1,3
AS 235.2,3
AS 235.3,3
AS 236.1,3
AS 236.2,3
AS 236.3,3
AS 237.1,3
AS 237.2,3
AS 237.3,3
AS 250,3
AS 254,3
AS 255.1,3
AS 255.2,3
AS 282,3
AS 298,3
AS 299,6
AS 300,3
B 264,3
B 297,3
BA 99.2,3
BA 101,3
BA 102,3
BA 103,3
BA 105,3
BA 106,4.5
BA 114.2,3
BA 115,3
BA 117,6
BA 118.1,3
BA 118.2,6
BA 118.3,3
BA 119,3
BA 121,3
BA 122.1,5
BA 123,3
BA 124,3
