course number,name,units,schedule,professor
60089,Acctg 1 THU,3.0,TTh 10-11:30AM lec TBA,"GONZAGA, NOREEN ROSE"
60090,Acctg 1 THV,3.0,TTh 11:30AM-1PM lec TBA,"GONZAGA, NOREEN ROSE"
47974,Anthro 10 THU,3.0,TTh 10-11:30AM lec TBA,"CRUZ, REGINALDO"
47977,Anthro 10 THU-1,3.0,TTh 10-11:30AM lec TBA,"ESTEBAN, ROLANDO"
47978,Anthro 10 THV,3.0,TTh 11:30AM-1PM lec TBA,"ESTEBAN, ROLANDO"
47979,Anthro 10 THW,3.0,TTh 1-2:30PM lec TBA,"ESTEBAN, ROLANDO"
47981,Anthro 10 THW-1,3.0,TTh 1-2:30PM lec TBA,"LUNA, JARED JONATHAN"
47975,Anthro 10 THX,3.0,TTh 2:30-4PM lec TBA,"CASTRO, NESTOR"
47980,Anthro 10 THX-1,3.0,TTh 2:30-4PM lec TBA,"ESTEBAN, ROLANDO"
47976,Anthro 10 WFX,3.0,WF 2:30-4PM lec TBA,"CASTRO, NESTOR"
47973,Anthro 100 WFU,3.0,WF 10-11:30AM lec TBA,"VALIENTES, EDWIN WINSTON"
48006,Anthro 100 WFW,3.0,WF 1-2:30PM lec TBA,"TATEL, CARLOS"
47962,Anthro 101 THX,3.0,TTh 2:30-4PM lec TBA,"TADURAN, RICHARD JONATHAN"
47963,Anthro 101.1 THL,1.0,T 4-5PM lab TBA,"TADURAN, RICHARD JONATHAN"
47989,Anthro 111.1 WFL,1.0,F 4-5PM lab TBA,"OCHOA, JANINE THERESE"
47990,Anthro 111.1 WFL-1,1.0,F 5-6PM lab TBA,"OCHOA, JANINE THERESE"
47964,Anthro 112 THR,3.0,TTh 8:30-10AM lec TBA,"VALIENTES, EDWIN WINSTON"
47965,Anthro 112 THV,3.0,TTh 11:30AM-1PM lec TBA,"VALIENTES, EDWIN WINSTON"
47987,Anthro 118 WFV,3.0,WF 11:30AM-1PM lec TBA,"OCHOA, JANINE THERESE"
47988,Anthro 118 WFW,3.0,WF 1-2:30PM lec TBA,"OCHOA, JANINE THERESE"
47958,Anthro 133 WFQ,3.0,WF 7-8:30AM lec TBA,"MANGAHAS, MARIA"
47959,Anthro 133 WFR,3.0,WF 8:30-10AM lec TBA,"MANGAHAS, MARIA"
47966,Anthro 151 WFX,3.0,WF 2:30-4PM lec TBA,"GUAZON, HECTOR"
47967,Anthro 151 WFY,3.0,WF 4-5:30PM lec TBA,"GUAZON, HECTOR"
47968,Anthro 161 WFU,3.0,WF 10-11:30AM lec TBA,"CRUZ, REGINALDO"
47969,Anthro 161 WFW,3.0,WF 1-2:30PM lec TBA,"CRUZ, REGINALDO"
47971,Anthro 167 WFR,3.0,WF 8:30-10AM lec TBA,"LASCO, PAUL GIDEON"
47972,Anthro 167 WFU,3.0,WF 10-11:30AM lec TBA,"LASCO, PAUL GIDEON"
47952,Anthro 172 WFY,3.0,WF 4-5:30PM lec TBA,"CABALZA, CHESTER"
47954,Anthro 173 THV,3.0,TTh 11:30AM-1PM lec TBA,"LUNA, JARED JONATHAN"
47955,Anthro 179 THY,3.0,TTh 4-5:30PM lec TBA,"CASTRO, NESTOR"
47956,Anthro 181 THU,3.0,TTh 10-11:30AM lec TBA,"JOCANO, FELIPE"
47957,Anthro 181 WFU,3.0,WF 10-11:30AM lec TBA,"JOCANO, FELIPE"
47970,Anthro 190 THU,3.0,TTh 10-11:30AM lec TBA,"TAQUEBAN, EFENITA MAY"
47960,Anthro 194 THV,3.0,TTh 11:30AM-1PM lec TBA,"SANTOS, MONICA FIDES AMADA"
47961,Anthro 194 THW,3.0,TTh 1-2:30PM lec TBA,"SANTOS, MONICA FIDES AMADA"
48000,Anthro 202 WNOP,3.0,W 5-8PM lec TBA,"TADURAN, RICHARD JONATHAN"
47993,Anthro 205 HNOPFOCUS: Criminal Anthropology,3.0,Th 5-8PM lec TBA,"TADURAN, RICHARD JONATHAN"
48001,Anthro 212 HLNO1,3.0,Th 4-7PM lec TBA,"OCHOA, JANINE THERESE"
47994,Anthro 223 WLNO,3.0,W 4-7PM lec TBA,"CASTRO, NESTOR"
48002,Anthro 224 FLNO2,3.0,F 4-7PM lec TBA,"MANGAHAS, MARIA"
48005,Anthro 225 SJKL,3.0,S 2-5PM lec TBA,"PAMA, HERMEL"
47995,Anthro 261 SCDESeminar in Asian Traditions,3.0,S 9AM-12PM seminar TBA,"CABALZA, CHESTER"
47996,"Anthro 275 MNOPFOCUS: Civil Society, the State and the Private Sector in a Contentious New Normal)",3.0,M 5-8PM seminar TBA,"RACELIS, MARY"
47997,Anthro 277 SIJK,3.0,S 1-4PM lec TBA,"CABALZA, CHESTER"
47998,Anthro 278 HLNOFOCUS: Social Science Research Methods Using the Internet,3.0,M 4-7PM seminar TBA,"TAN, MICHAEL"
47999,Anthro 282 HLNOFOCUS: Life Histories,3.0,Th 4-7PM lec TBA,"PAMA, HERMEL"
48003,Anthro 297 TLNO1,3.0,T 4-7PM lec TBA,"TAN, MICHAEL"
48007,Anthro 300 MCDE,3.0,M 9AM-12PM thesis TBA,CONCEALED
48008,Anthro 400 MIJK,3.0,M 1-4PM diss TBA,CONCEALED
47953,Anthropology 114 WFW,3.0,WF 1-2:30PM lec TBA,"CANO, JENNY RUTH"
41385,App Physics 157 WFU-FX,4.0,WF 10-11:30AM lec NIP F207; F 1-4PM lab TBA,CONCEALED
41384,App Physics 157 WFU-WX,4.0,WF 10-11:30AM lec NIP F206; W 1-4PM lab TBA,CONCEALED
41386,App Physics 171 WFR,3.0,WF 8:30-10AM lab NIP R210,CONCEALED
41387,App Physics 175 THU,3.0,TTh 10-11:30AM lec NIP F205,CONCEALED
41391,App Physics 181 THY-FX,4.0,F 1-4PM lab TBA; TTh 4-5:30PM lec NIP R109,CONCEALED
41392,App Physics 181 THY-FX-1,4.0,F 1-4PM lab TBA; TTh 4-5:30PM lec NIP R109,CONCEALED
41393,App Physics 181 THY-FX-2,4.0,F 1-4PM lab TBA; TTh 4-5:30PM lec NIP R109,CONCEALED
41388,App Physics 181 THY-WX,4.0,W 1-4PM lab TBA; TTh 4-5:30PM lec NIP R109,CONCEALED
41389,App Physics 181 THY-WX-1,4.0,W 1-4PM lab TBA; TTh 4-5:30PM lec NIP R109,CONCEALED
41390,App Physics 181 THY-WX-2,4.0,W 1-4PM lab TBA; TTh 4-5:30PM lec NIP R109,CONCEALED
41394,App Physics 183 WFR,3.0,WF 8:30-10AM lec NIP F207,CONCEALED
41395,App Physics 185 THR,4.0,M 8-11AM lab NIP R208; TTh 8:30-10AM lec NIP R208,CONCEALED
15681,Aral Pil 300 HABC,6.0,Th 7-10AM thesis TBA,TBA
11693,Arch 3 THBCDEG,3.0,TTh 8AM-12:30PM lab TBA,"RIVERA, DAVID"
11699,Arch 3 THBCDEG-1,3.0,TTh 8AM-12:30PM lab TBA,"YAZON, RIZALINO"
11744,Arch 3 WFBCDE,3.0,WF 8AM-12:30PM lab TBA,"GOZON, PATRICK ANDREW"
11694,Arch 3 WFBCDEG,3.0,WF 8AM-12:30PM lab TBA,"RIVERA, DAVID"
11700,Arch 3 WFBCDEG-1,3.0,WF 8AM-12:30PM lab TBA,"YAZON, RIZALINO"
11726,Arch 3 WFBCDEG-2,3.0,WF 8AM-12:30PM lab TBA,"DE LEON, RUBY TERESA"
11708,Arch 4 WFCDE,3.0,WF 9:30AM-12PM lab TBA,"BALANE, RONALD"
11682,Arch 5 THZQ,2.0,TTh 6-8:30PM lec TBA,"MANALANG, RINGER"
11680,Arch 5 WFCDE,2.0,WF 9:30AM-12PM lec TBA,"LOPEZ, KAREN THERESE"
11746,Arch 5 WFCDE-1,2.0,WF 9:30AM-12PM lec TBA,"LECCIONES, AARON JULIUS"
11681,Arch 5 WFKLN,2.0,WF 1:30-4PM lec TBA,"LOPEZ, KAREN THERESE"
11747,Arch 5 WFWX,2.0,WF 1:30-4PM lec TBA,"LECCIONES, AARON JULIUS"
11675,Arch 16 THE,2.0,TTh 2-3PM lec TBA,"GINES, LEONIDO"
11751,Arch 16 THI,2.0,TTh 1-2PM lec TBA,"LICO, GERARD REY"
11755,Arch 16 THI-1,2.0,TTh 1-2PM lec TBA,"LUNA, MARKEL CESAR"
11756,Arch 16 THJ,2.0,TTh 2-3PM lec TBA,"LUNA, MARKEL CESAR"
11672,Arch 18 THD,2.0,TTh 10-11AM lec TBA,"GINES, LEONIDO"
11782,Arch 18 THD-1,2.0,TTh 10-11AM lec TBA,"SANTOS, MICHAELA ROSETTE"
11673,Arch 18 THE,2.0,TTh 11AM-12PM lec TBA,"GINES, LEONIDO"
11766,Arch 18 THE-1,2.0,TTh 11AM-12PM lec TBA,"OZAETA, EMILIO JACINTO"
11705,Arch 20 THLN,2.0,Th 4:30-6:30PM lab TBA; T 4:30-6:30PM lec TBA,"ARANETA, MAUREEN ANNE"
11674,Arch 20 WFLNO,2.0,F 4:30-6:30PM lab TBA; W 4:30-6:30PM lec TBA,"GINES, LEONIDO"
11678,Arch 20 WFLNO-1,2.0,F 4:30-6:30PM lab TBA; W 4:30-6:30PM lec TBA,"LAYUSA, MARY CHRISTINE JOSEPHINE"
11686,Arch 20 WFLNO-2,2.0,F 4:30-6:30PM lab TBA; W 4:30-6:30PM lec TBA,"ONG, SIMOUN"
11706,Arch 20 WFYZ,2.0,F 4:30-6:30PM lab TBA; W 4:30-6:30PM lec TBA,"ARANETA, MAUREEN ANNE"
11745,Arch 22 THYZQ,3.0,TTh 4:30-9PM lab TBA,"GOZON, PATRICK ANDREW"
11727,Arch 22 WFYZQ,3.0,WF 4:30-9PM lab TBA,"DE LEON, RUBY TERESA"
11784,Arch 22 WFYZQ-1,3.0,WF 4:30-9PM lab TBA,"SANTOS, MICHAELA ROSETTE"
11788,Arch 22 WFYZQ-2,3.0,WF 4:30-9PM lab TBA,"SICAM, OLIVIA ALMA"
11697,Arch 23 THWX,3.0,Th 1:30-4PM lab TBA; T 1:30-4PM lec TBA,"SANTOS, JOHN RYAN"
11759,Arch 23 THWX-1,3.0,Th 1:30-4PM lab TBA; T 1:30-4PM lec TBA,"MADRID, DOLORES CECILIA"
11783,Arch 23 THWX-2,3.0,Th 1:30-4PM lab TBA; T 1:30-4PM lec TBA,"SANTOS, MICHAELA ROSETTE"
11728,Arch 23 WFWX,3.0,F 1:30-4PM lab TBA; W 1:30-4PM lec TBA,"DE LEON, RUBY TERESA"
